Prof_Course, The instructor clearly defined and explained the course objectives and expectations, The instructor was prepared for each instructional activity, The instructor communicated information effectively, The instructor encouraged me to take an active role in my own learning, The instructor was available to students either electronically or in person
5311.4,3.6667,3.6667,3.375,3.6667,3.875
5388.1,4.7,4.75,4.7,4.6,4.7
5344.1,4.4583,4.4583,4.4583,4.4583,4.5417
6350.1,4.1333,4.1333,4.2667,4.1333,4.2667
5325.2,4.087,4.0435,4.1364,3.913,4.2609
5325.3,4.08,4.28,4.28,4.16,4.28
5311.1,4.4286,4.381,4.4286,4.2857,4
5345.1,3.3043,3.2273,3.2609,3.6957,3.8696
5311.3,3.6667,3.619,3.619,3.7619,3.8571
6339.1,3.3529,3.5294,3.2353,3.5882,3.0588
6331.1,4.5714,4.7143,4.4286,4.7143,4.7143
5194.1,3.9609,3.9274,3.8715,3.7989,3.8045
5335.1,3.8696,3.8261,3.5217,4.0435,3.8636
5320.2,4.6,4.7333,4.8,4.6,4.6
6363.1,4.0556,3.9444,3.7778,4.3333,4.2778
5324.3,4.125,4.0417,4,4.2083,4.375
5325.1,4.5,4.5625,4.6875,4.625,4.3125
5325.33,4.6667,4.6667,4.6667,4.6667,4.6667
5322.1,3.8,4.1429,3.6667,3.7333,4.0667
5328.33,4.3333,4.3333,4.6667,4.6667,4.6667
5324.1,4.3438,4.4063,4.1875,4.4063,4.4516
6324.1,4.1667,4.3889,4.2222,4.2222,4.4444
6331.2,4.2727,4.1818,4,4.3636,4.1
6331.3,4.375,4.375,4.5,4.5,4.2857
5334.1,4.1579,4.1842,4.2105,4.1351,4.4211
5306.1,4.16,4.16,4.12,3.96,3.96
5306.3,3.7273,4.2727,3.6818,3.4545,3.6364
6349.1,4.4286,4.2857,4.4286,4.2857,4.1429
5369.1,4.6,4.7,4.9,4.9,4.9
5306.2,3.6522,3.6522,3.6522,3.913,4.1304
5324.2,3.4444,3.4815,3.2692,3.5556,3.6667
5344.2,4.3333,4.4074,4.3704,4.0741,4.2963
5320.1,4.05,3.8,3.6,4.15,4.1
5311.2,4.1389,4.25,4.2778,4.2222,4.8286
5380.1,4.2973,4.5278,4.4595,4.4324,4.5135
5380.2,3.7917,4,3.7391,4.087,4.125
5301.1,4.2174,4.1739,3.8696,4.1739,4.2609
5330.1,4.5294,4.5588,4.2647,4.2647,4.5882
5330.2,4.4412,4.5588,4.3529,4.3235,4.4545
